"pitcher_id","pitcher_full_name","pitch_type","Pitches","xRV_Residual","Distortion","Selection","pitch_label"
643511,"Tyler Rogers","SI",811,-0.012,-0.002,-0.009,"Sinker"
661395,"Jhoan Duran","SI",219,-0.011,-0.001,-0.011,"Sinker"
695418,"Brad Lord","SI",186,-0.011,-0.001,-0.01,"Sinker"
660271,"Shohei Ohtani","FF",226,-0.01,0,-0.009,"Four-Seam FB"
660813,"Brusdar Graterol","SI",105,-0.01,0,-0.009,"Sinker"
662253,"Andrés Muñoz","SI",156,-0.01,-0.001,-0.01,"Sinker"
801139,"Payton Tolle","FF",103,-0.01,0,-0.01,"Four-Seam FB"
801403,"Chase Dollander","FF",403,-0.01,-0.001,-0.009,"Four-Seam FB"
607481,"Aaron Bummer","SI",315,-0.009,-0.001,-0.008,"Sinker"
621383,"Tanner Banks","SI",102,-0.009,-0.001,-0.008,"Sinker"
668674,"Lucas Erceg","SI",275,-0.009,0,-0.008,"Sinker"
672582,"Angel Zerpa","SI",447,-0.009,-0.001,-0.008,"Sinker"
679775,"Kyle Backhus","SI",113,-0.009,-0.001,-0.008,"Sinker"
679885,"Justin Martinez","SI",249,-0.009,0,-0.008,"Sinker"
681867,"Cooper Criswell","SI",250,-0.009,-0.001,-0.007,"Sinker"
691799,"Grant Taylor","FF",153,-0.009,0,-0.009,"Four-Seam FB"
571760,"Andrew Heaney","SI",106,-0.008,-0.001,-0.007,"Sinker"
608723,"Austin Voth","FF",112,-0.008,0,-0.007,"Four-Seam FB"
621199,"Matt Bowman","SI",183,-0.008,0,-0.007,"Sinker"
623437,"Justin Topa","SI",253,-0.008,-0.001,-0.007,"Sinker"
656887,"Sean Reid-Foley","FF",154,-0.008,0,-0.008,"Four-Seam FB"
657277,"Logan Webb","SI",994,-0.008,-0.001,-0.007,"Sinker"
657571,"Caleb Ferguson","SI",145,-0.008,0,-0.008,"Sinker"
666661,"Juan Morillo","FF",136,-0.008,0,-0.008,"Four-Seam FB"
669467,"Andre Pallante","SI",345,-0.008,0,-0.008,"Sinker"
670167,"John Schreiber","SI",242,-0.008,-0.001,-0.007,"Sinker"
670174,"Josh Winckowski","SI",295,-0.008,-0.001,-0.007,"Sinker"
670990,"Yohan Ramírez","SI",158,-0.008,0,-0.007,"Sinker"
676477,"Garrett Whitlock","SI",385,-0.008,0,-0.008,"Sinker"
676617,"Riley O'Brien","SI",182,-0.008,-0.001,-0.007,"Sinker"
678020,"Seth Halvorsen","FF",179,-0.008,0,-0.007,"Four-Seam FB"
679885,"Justin Martinez","FF",141,-0.008,0,-0.007,"Four-Seam FB"
686973,"Louis Varland","FF",460,-0.008,0,-0.008,"Four-Seam FB"
687330,"Kevin Kelly","SI",497,-0.008,-0.001,-0.006,"Sinker"
688297,"Chris Roycroft","FF",144,-0.008,0,-0.008,"Four-Seam FB"
688297,"Chris Roycroft","SI",209,-0.008,-0.001,-0.007,"Sinker"
695418,"Brad Lord","FF",530,-0.008,0,-0.008,"Four-Seam FB"
700241,"Michael McGreevy","SI",201,-0.008,-0.001,-0.007,"Sinker"
472610,"Luis García","SI",538,-0.007,0,-0.006,"Sinker"
493603,"Adam Ottavino","SI",163,-0.007,-0.001,-0.006,"Sinker"
543294,"Kyle Hendricks","SI",973,-0.007,-0.001,-0.006,"Sinker"
571901,"Aaron Loup","SI",105,-0.007,0,-0.007,"Sinker"
571927,"Steven Matz","SI",617,-0.007,0,-0.006,"Sinker"
571948,"Hoby Milner","SI",345,-0.007,-0.001,-0.006,"Sinker"
607481,"Aaron Bummer","FF",117,-0.007,0,-0.007,"Four-Seam FB"
621016,"Jose Cuas","SI",151,-0.007,-0.001,-0.006,"Sinker"
622259,"Trey Wingenter","FF",100,-0.007,0,-0.006,"Four-Seam FB"
622491,"Luis Castillo","SI",656,-0.007,0,-0.006,"Sinker"
622608,"Antonio Senzatela","FF",648,-0.007,0,-0.007,"Four-Seam FB"
640455,"Sean Manaea","FF",807,-0.007,0,-0.006,"Four-Seam FB"
656876,"Drew Rasmussen","SI",276,-0.007,0,-0.007,"Sinker"
657044,"Ryan Thompson","SI",493,-0.007,-0.002,-0.006,"Sinker"
660261,"Shintaro Fujinami","FF",145,-0.007,0,-0.006,"Four-Seam FB"
660761,"José Suarez","FF",217,-0.007,0,-0.006,"Four-Seam FB"
660787,"Yerry De los Santos","SI",192,-0.007,0,-0.006,"Sinker"
661309,"Adrián Martínez","FF",129,-0.007,0,-0.007,"Four-Seam FB"
661395,"Jhoan Duran","FF",485,-0.007,0,-0.007,"Four-Seam FB"
661403,"Emmanuel Clase","FC",802,-0.007,0,-0.007,"Cutter"
661440,"Mauricio Llovera","SI",149,-0.007,-0.001,-0.006,"Sinker"
663158,"Robert Suarez","SI",212,-0.007,0,-0.007,"Sinker"
663568,"Stephen Kolek","FF",222,-0.007,0,-0.006,"Four-Seam FB"
663776,"Patrick Sandoval","SI",170,-0.007,0,-0.007,"Sinker"
667463,"John King","SI",529,-0.007,-0.001,-0.006,"Sinker"
668674,"Lucas Erceg","FF",328,-0.007,0,-0.007,"Four-Seam FB"
668933,"Graham Ashcraft","FC",798,-0.007,0,-0.006,"Cutter"
669373,"Tarik Skubal","SI",630,-0.007,0,-0.007,"Sinker"
669920,"Jason Alexander","SI",192,-0.007,-0.001,-0.006,"Sinker"
671345,"Jason Foley","SI",388,-0.007,0,-0.006,"Sinker"
672841,"Carlos Vargas","SI",293,-0.007,-0.001,-0.006,"Sinker"
675848,"Juan Mejia","FF",331,-0.007,0,-0.006,"Four-Seam FB"
675921,"Spencer Howard","FF",146,-0.007,0,-0.007,"Four-Seam FB"
676254,"Ryan Walker","SI",577,-0.007,-0.001,-0.006,"Sinker"
676684,"Will Vest","SI",176,-0.007,0,-0.007,"Sinker"
677161,"Zack Kelly","FF",180,-0.007,0,-0.007,"Four-Seam FB"
678606,"Jose A. Ferrer","FF",106,-0.007,0,-0.007,"Four-Seam FB"
678606,"Jose A. Ferrer","SI",216,-0.007,-0.001,-0.006,"Sinker"
678606,"José A. Ferrer","SI",358,-0.007,-0.001,-0.006,"Sinker"
680570,"Grayson Rodriguez","FF",740,-0.007,0,-0.006,"Four-Seam FB"
680689,"Lyon Richardson","FF",110,-0.007,0,-0.006,"Four-Seam FB"
680767,"Victor Vodnik","FF",589,-0.007,0,-0.006,"Four-Seam FB"
680885,"Spencer Schwellenbach","SI",128,-0.007,-0.001,-0.006,"Sinker"
681343,"Shane Smith","SI",137,-0.007,-0.001,-0.007,"Sinker"
681432,"Luke Little","FF",128,-0.007,0,-0.007,"Four-Seam FB"
682254,"Mason Montgomery","FF",314,-0.007,0,-0.006,"Four-Seam FB"
683627,"Anthony Molina","FF",330,-0.007,0,-0.007,"Four-Seam FB"
685299,"Tanner Gordon","FF",489,-0.007,0,-0.007,"Four-Seam FB"
686539,"Declan Cronin","SI",184,-0.007,-0.001,-0.007,"Sinker"
686826,"Bryce Jarvis","FF",317,-0.007,0,-0.007,"Four-Seam FB"
690829,"Ben Joyce","FF",184,-0.007,0,-0.006,"Four-Seam FB"
693433,"Bryan Woo","SI",628,-0.007,-0.001,-0.007,"Sinker"
693645,"Cam Schlittler","FF",355,-0.007,0,-0.006,"Four-Seam FB"
694477,"Chad Patrick","SI",189,-0.007,0,-0.007,"Sinker"
694973,"Paul Skenes","FF",991,-0.007,0,-0.006,"Four-Seam FB"
694973,"Paul Skenes","SI",138,-0.007,-0.001,-0.006,"Sinker"
696149,"Bubba Chandler","FF",124,-0.007,0,-0.007,"Four-Seam FB"
808967,"Yoshinobu Yamamoto","FF",613,-0.007,0,-0.007,"Four-Seam FB"
445926,"Jesse Chavez","SI",116,-0.006,0,-0.005,"Sinker"
456501,"Johnny Cueto","SI",104,-0.006,0,-0.005,"Sinker"
458677,"Justin Wilson","FF",383,-0.006,0,-0.006,"Four-Seam FB"
489446,"Kirby Yates","FF",636,-0.006,0,-0.005,"Four-Seam FB"
506433,"Yu Darvish","CU",128,-0.006,-0.001,-0.005,"Curveball"
519242,"Chris Sale","SI",115,-0.006,0,-0.006,"Sinker"
542888,"Shawn Armstrong","SI",345,-0.006,0,-0.006,"Sinker"
571510,"Matthew Boyd","FF",825,-0.006,0,-0.005,"Four-Seam FB"
571882,"Derek Law","SI",103,-0.006,0,-0.006,"Sinker"
573124,"Taylor Rogers","SI",400,-0.006,0,-0.006,"Sinker"
592332,"Kevin Gausman","FF",1847,-0.006,0,-0.006,"Four-Seam FB"
592866,"Trevor Williams","FF",737,-0.006,-0.001,-0.005,"Four-Seam FB"
593958,"Eduardo Rodriguez","SI",186,-0.006,0,-0.006,"Sinker"
605135,"Chris Bassitt","FF",219,-0.006,0,-0.006,"Four-Seam FB"
605135,"Chris Bassitt","SI",1200,-0.006,-0.001,-0.005,"Sinker"
605135,"Chris Bassitt","ST",239,-0.006,-0.002,-0.005,"Sweeper"
608344,"Cole Irvin","SI",208,-0.006,0,-0.005,"Sinker"
608379,"Michael Wacha","SI",419,-0.006,0,-0.006,"Sinker"
622663,"Luis Severino","SI",640,-0.006,0,-0.005,"Sinker"
